region,Scen_Label,fuel,year,CI_mean,,
China,Policy,biomass,1990,1.45E-06,,
China,Policy,biomass,2005,0.01872,,
China,Policy,biomass,2010,0.121906,,
China,Policy,biomass,2015,0.229424,,
China,Policy,biomass,2020,0.190221,,
China,Policy,biomass,2025,0.22283834,,
China,Policy,biomass,2030,0.23189931,,
China,Policy,biomass,2035,0.4897895,,
China,Policy,biomass,2040,0.5689103,,
China,Policy,biomass,2045,0.8048004,,
China,Policy,biomass,2050,1.1506793,,
China,Policy,biomass,2055,1.5552522,,
China,Policy,biomass,2060,1.98990869,,
China,Policy,biomass,2065,2.1865066,,
China,Policy,biomass,2070,2.0582755,,
China,Policy,biomass,2075,1.92590447,,
China,Policy,biomass,2080,1.91015523,,
China,Policy,biomass,2085,2.05255091,,
China,Policy,biomass,2090,2.1921975,,
China,Policy,biomass,2095,2.42825422,,
China,Policy,biomass,2100,2.50646874,,
China,Policy,coal,1990,1.69114,2.341158636,72.23517339
China,Policy,coal,2005,7.22629,9.140771078,79.05558446
China,Policy,coal,2010,11.7486,15.24865129,77.04681403
China,Policy,coal,2015,14.8819,21.1752452,70.27970567
China,Policy,coal,2020,16.648,23.76847122,70.04236765
China,Policy,coal,2025,18.65436266,27.60046482,67.58713225
China,Policy,coal,2030,20.1280984,31.63951451,63.61696351
China,Policy,coal,2035,18.106643,42.6561597,42.44789763
China,Policy,coal,2040,13.80078,46.3844682,29.75301979
China,Policy,coal,2045,9.863972,49.58693425,19.8922804
China,Policy,coal,2050,7.751061,53.04170863,14.61314351
China,Policy,coal,2055,7.569897,56.56893361,13.38172123
China,Policy,coal,2060,7.9386731,59.45657055,13.35205349
China,Policy,coal,2065,8.904699,57.53012334,15.47832419
China,Policy,coal,2070,9.284353,56.02698002,16.571218
China,Policy,coal,2075,9.491758,54.51668724,17.41073877
China,Policy,coal,2080,9.455335,52.76358525,17.92019052
China,Policy,coal,2085,9.3240977,51.07766334,18.25474599
China,Policy,coal,2090,9.2389915,49.17303681,18.78873484
China,Policy,coal,2095,7.9261437,46.80546815,16.93422588
China,Policy,coal,2100,6.73779249,44.46188954,15.1540849
China,Policy,gas,1990,0.00997559,,
China,Policy,gas,2005,0.0843043,,
China,Policy,gas,2010,0.3329,,
China,Policy,gas,2015,0.569525,,
China,Policy,gas,2020,0.542529,,
China,Policy,gas,2025,0.6167083,,
China,Policy,gas,2030,0.7097049,,
China,Policy,gas,2035,0.910857,,
China,Policy,gas,2040,1.066566,,
China,Policy,gas,2045,1.2330696,,
